AudioMothCode,AudioMothID,SourceFile,Directory,FileName,FileSize,Encoding,NumChannels,SampleRate,AvgBytesPerSec,BitsPerSample,StartDateTime,Duration,Error,Comment,Artist,FileCreateDate,FileType,FileTypeExtension,MIMEType
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190616_221000.WAV,GRABADOR-SDZG-AM-1,20190616_221000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,16.06.2019 22:10,60.00046875,,Recorded at 22:10:00 16/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.6V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:14:31-08:00,WAV,WAV,audio/x-wav
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190618_050000.WAV,GRABADOR-SDZG-AM-1,20190618_050000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,18.06.2019 05:00,60.00046875,,Recorded at 05:00:00 18/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.4V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:20:15-08:00,WAV,WAV,audio/x-wav
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190618_171000.WAV,GRABADOR-SDZG-AM-1,20190618_171000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,18.06.2019 17:10,60.00046875,,Recorded at 17:10:00 18/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.4V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:22:33-08:00,WAV,WAV,audio/x-wav
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190618_182000.WAV,GRABADOR-SDZG-AM-1,20190618_182000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,18.06.2019 18:20,60.00046875,,Recorded at 18:20:00 18/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.4V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:22:46-08:00,WAV,WAV,audio/x-wav
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190619_003000.WAV,GRABADOR-SDZG-AM-1,20190619_003000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,19.06.2019 00:30,60.00046875,,Recorded at 00:30:00 19/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.4V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:23:55-08:00,WAV,WAV,audio/x-wav
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190619_201000.WAV,GRABADOR-SDZG-AM-1,20190619_201000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,19.06.2019 20:10,60.00046875,,Recorded at 20:10:00 19/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.4V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:27:39-08:00,WAV,WAV,audio/x-wav
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190620_061000.WAV,GRABADOR-SDZG-AM-1,20190620_061000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,20.06.2019 06:10,60.00046875,,Recorded at 06:10:00 20/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.3V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:29:33-08:00,WAV,WAV,audio/x-wav
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190622_123000.WAV,GRABADOR-SDZG-AM-1,20190622_123000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,22.06.2019 12:30,60.00046875,,Recorded at 12:30:00 22/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.2V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:39:44-08:00,WAV,WAV,audio/x-wav
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190625_045000.WAV,GRABADOR-SDZG-AM-1,20190625_045000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,25.06.2019 04:50,60.00046875,,Recorded at 04:50:00 25/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.1V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:51:54-08:00,WAV,WAV,audio/x-wav
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190625_070000.WAV,GRABADOR-SDZG-AM-1,20190625_070000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,25.06.2019 07:00,60.00046875,,Recorded at 07:00:00 25/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.1V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:52:19-08:00,WAV,WAV,audio/x-wav
